acpid ACPID
add-shell ADD_SHELL
addgroup ADDGROUP
adduser ADDUSER
adjtimex ADJTIMEX
ar AR
arch BB_ARCH
arp ARP
arping ARPING
ascii ASCII
ash ASH
awk AWK
base32 BASE32
base64 BASE64
basename BASENAME
bash BASH_IS_ASH
bash BASH_IS_HUSH
bbconfig BBCONFIG
bc BC
beep BEEP
blkdiscard BLKDISCARD
blkid BLKID
blockdev BLOCKDEV
bootchartd BOOTCHARTD
brctl BRCTL
bunzip2 BUNZIP2
bzcat BZCAT
bzip2 BZIP2
cal CAL
cat CAT
chat CHAT
chattr CHATTR
chcon CHCON
chgrp CHGRP
chmod CHMOD
chown CHOWN
chpasswd CHPASSWD
chpst CHPST
chroot CHROOT
chrt CHRT
chvt CHVT
cksum CKSUM
clear CLEAR
cmp CMP
comm COMM
conspy CONSPY
cp CP
cpio CPIO
crc32 CRC32
crond CROND
crontab CRONTAB
cryptpw CRYPTPW
cttyhack CTTYHACK
cut CUT
date DATE
dc DC
dd DD
deallocvt DEALLOCVT
delgroup DELGROUP
deluser DELUSER
devfsd DEVFSD
devmem DEVMEM
df DF
dhcprelay DHCPRELAY
diff DIFF
dirname DIRNAME
dmesg DMESG
dnsd DNSD
dnsdomainname DNSDOMAINNAME
dos2unix DOS2UNIX
dpkg DPKG
dpkg-deb DPKG_DEB
du DU
dumpkmap DUMPKMAP
dumpleases DUMPLEASES
echo ECHO
ed ED
egrep EGREP
eject EJECT
env ENV
envdir ENVDIR
envuidgid ENVUIDGID
ether-wake ETHER_WAKE
expand EXPAND
expr EXPR
factor FACTOR
fakeidentd FAKEIDENTD
fallocate FALLOCATE
false FALSE
fatattr FATATTR
fbset FBSET
fbsplash FBSPLASH
fdflush FDFLUSH
fdformat FDFORMAT
fdisk FDISK
fgconsole FGCONSOLE
fgrep FGREP
find FIND
findfs FINDFS
flash_eraseall FLASH_ERASEALL
flash_lock FLASH_LOCK
flash_unlock FLASH_UNLOCK
flashcp FLASHCP
flock FLOCK
fold FOLD
free FREE
freeramdisk FREERAMDISK
fsck FSCK
fsck.minix FSCK_MINIX
fsfreeze FSFREEZE
fstrim FSTRIM
fsync FSYNC
ftpd FTPD
ftpget FTPGET
ftpput FTPPUT
fuser FUSER
getenforce GETENFORCE
getfattr GETFATTR
getopt GETOPT
getsebool GETSEBOOL
getty GETTY
grep GREP
groups GROUPS
gunzip GUNZIP
gzip GZIP
halt HALT
hd HD
hdparm HDPARM
head HEAD
hexdump HEXDUMP
hexedit HEXEDIT
hostid HOSTID
hostname HOSTNAME
httpd HTTPD
hush HUSH
hwclock HWCLOCK
i2cdetect I2CDETECT
i2cdump I2CDUMP
i2cget I2CGET
i2cset I2CSET
i2ctransfer I2CTRANSFER
id ID
ifconfig IFCONFIG
ifdown IFDOWN
ifenslave IFENSLAVE
ifplugd IFPLUGD
ifup IFUP
inetd INETD
init INIT
inotifyd INOTIFYD
install INSTALL
ionice IONICE
iostat IOSTAT
ip IP
ipaddr IPADDR
ipcalc IPCALC
ipcrm IPCRM
ipcs IPCS
iplink IPLINK
ipneigh IPNEIGH
iproute IPROUTE
iprule IPRULE
iptunnel IPTUNNEL
kbd_mode KBD_MODE
kill KILL
killall KILLALL
killall5 KILLALL5
klogd KLOGD
last LAST
less LESS
link LINK
linux32 LINUX32
linux64 LINUX64
linuxrc LINUXRC
ln LN
load_policy LOAD_POLICY
loadfont LOADFONT
loadkmap LOADKMAP
logger LOGGER
login LOGIN
logname LOGNAME
logread LOGREAD
losetup LOSETUP
lpd LPD
lpq LPQ
lpr LPR
ls LS
lsattr LSATTR
lsof LSOF
lspci LSPCI
lsscsi LSSCSI
lsusb LSUSB
lzcat LZCAT
lzma LZMA
lzop LZOP
lzopcat LZOPCAT
makedevs MAKEDEVS
makemime MAKEMIME
man MAN
matchpathcon MATCHPATHCON
md5sum MD5SUM
mdev MDEV
mesg MESG
microcom MICROCOM
mim MIM
minips MINIPS
mkdir MKDIR
mkdosfs MKDOSFS
mke2fs MKE2FS
mkfifo MKFIFO
mkfs.ext2 MKFS_EXT2
mkfs.minix MKFS_MINIX
mkfs.reiser MKFS_REISER
mkfs.vfat MKFS_VFAT
mknod MKNOD
mkpasswd MKPASSWD
mkswap MKSWAP
mktemp MKTEMP
modinfo MODINFO
more MORE
mount MOUNT
mountpoint MOUNTPOINT
mpstat MPSTAT
mt MT
mv MV
nameif NAMEIF
nanddump NANDDUMP
nandwrite NANDWRITE
nbd-client NBDCLIENT
nc NC
netcat NETCAT
netstat NETSTAT
nice NICE
nl NL
nmeter NMETER
nohup NOHUP
nologin NOLOGIN
nproc NPROC
nsenter NSENTER
nslookup NSLOOKUP
ntpd NTPD
nuke NUKE
od OD
openvt OPENVT
partprobe PARTPROBE
passwd PASSWD
paste PASTE
patch PATCH
pgrep PGREP
pidof PIDOF
ping PING
ping6 PING6
pipe_progress PIPE_PROGRESS
pivot_root PIVOT_ROOT
pkill PKILL
pmap PMAP
popmaildir POPMAILDIR
poweroff POWEROFF
powertop POWERTOP
printenv PRINTENV
printf PRINTF
ps PS
pscan PSCAN
pstree PSTREE
pwd PWD
pwdx PWDX
raidautorun RAIDAUTORUN
rdate RDATE
rdev RDEV
readahead READAHEAD
readlink READLINK
readprofile READPROFILE
realpath REALPATH
reboot REBOOT
reformime REFORMIME
remove-shell REMOVE_SHELL
renice RENICE
reset RESET
resize RESIZE
restorecon RESTORECON
resume RESUME
rev REV
rfkill RFKILL
rm RM
rmdir RMDIR
route ROUTE
rpm RPM
rpm2cpio RPM2CPIO
rtcwake RTCWAKE
run-init RUN_INIT
